strain	virus	date	site	region	clade	cluster
A/Kenya/CDC-KNH/001/2009_10-Jul-2009	influenza	2009-07-10	Nairobi	central_Kenya	7	cluster_3
A/Kenya/CDC-KNH/002/2009_23-Jul-2009	influenza	2009-07-23	Nairobi	central_Kenya	7	cluster_1
A/Kenya/CDC-KNH/002/2018_22-Jan-2018	influenza	2018-01-22	Nairobi	central_Kenya	6B.1A	cluster_30
A/Kenya/CDC-KNH/003/2009_29-Jul-2009	influenza	2009-07-29	Nairobi	central_Kenya	7	cluster_3
A/Kenya/CDC-KNH/004/2009_11-Aug-2009	influenza	2009-08-11	Nairobi	central_Kenya	7	cluster_3
A/Kenya/CDC-KNH/004/2018_20-Feb-2018	influenza	2018-02-20	Nairobi	central_Kenya	6B.1A	cluster_24
A/Kenya/CDC-KNH/005/2018_19-Feb-2018	influenza	2018-02-19	Nairobi	central_Kenya	6B.1A1	cluster_27
A/Kenya/CDC-KNH/006/2009_12-Oct-2009	influenza	2009-10-12	Nairobi	central_Kenya	7	cluster_1
A/Kenya/CDC-KNH/008/2018_26-Feb-2018	influenza	2018-02-26	Nairobi	central_Kenya	6B.1A	cluster_30
A/Kenya/CDC-KNH/009/2009_03-Nov-2009	influenza	2009-11-03	Nairobi	central_Kenya	7	cluster_1
A/Kenya/CDC-KNH/009/2018_19-Mar-2018	influenza	2018-03-19	Nairobi	central_Kenya	6B.1A	cluster_30
A/Kenya/CDC-KNH/010/2018_17-Apr-2018	influenza	2018-04-17	Nairobi	central_Kenya	6B.1A1	cluster_27
A/Kenya/CDC-KNH/011/2009_25-Nov-2009	influenza	2009-11-25	Nairobi	central_Kenya	7	cluster_1
A/Kenya/CDC-KNH/011/2018_20-Mar-2018	influenza	2018-03-20	Nairobi	central_Kenya	6B.1A	cluster_30
A/Kenya/CDC-KNH/012/2009_27-Nov-2009	influenza	2009-11-27	Nairobi	central_Kenya	7	cluster_1
A/Kenya/CDC-KNH/013/2009_30-Nov-2009	influenza	2009-11-30	Nairobi	central_Kenya	7	cluster_1
A/Kenya/CDC-KNH/014/2009_02-Dec-2009	influenza	2009-12-02	Nairobi	central_Kenya	7	cluster_1
A/Kenya/CDC-KNH/014/2018_04-Apr-2018	influenza	2018-04-04	Nairobi	central_Kenya	6B.1A	cluster_30
A/Kenya/CDC-KNH/015/2018_04-Apr-2018	influenza	2018-04-04	Nairobi	central_Kenya	6B.1A	cluster_25
A/Kenya/CDC-KNH/016/2018_10-Apr-2018	influenza	2018-04-10	Nairobi	central_Kenya	6B.1A	cluster_25
A/Kenya/CDC-KNH/021/2010_09-Nov-2010	influenza	2010-11-09	Nairobi	central_Kenya	6	cluster_10
A/Kenya/CDC-KNH/022/2010_10-Nov-2010	influenza	2010-11-10	Nairobi	central_Kenya	6	cluster_10
A/Kenya/CDC-KNH/023/2010_10-Nov-2010	influenza	2010-11-10	Nairobi	central_Kenya	6	cluster_10
A/Kenya/CDC-KNH/024/2010_11-Nov-2010	influenza	2010-11-11	Nairobi	central_Kenya	6	cluster_8
A/Kenya/CDC-KNH/025/2010_17-Nov-2010	influenza	2010-11-17	Nairobi	central_Kenya	7	cluster_1
A/Kenya/CDC-KNH/026/2010_17-Nov-2010	influenza	2010-11-17	Nairobi	central_Kenya	7	cluster_1
A/Kenya/CDC-KNH/028/2010_23-Nov-2010	influenza	2010-11-23	Nairobi	central_Kenya	6	cluster_10
A/Kenya/CDC-KNH/029/2010_23-Nov-2010	influenza	2010-11-23	Nairobi	central_Kenya	6	cluster_10
A/Kenya/CDC-KNH/030/2010_29-Nov-2010	influenza	2010-11-29	Nairobi	central_Kenya	6	cluster_10
A/Kenya/CDC-KNH/031/2010_30-Nov-2010	influenza	2010-11-30	Nairobi	central_Kenya	6	cluster_10
A/Kenya/CDC-KNH/032/2010_07-Dec-2010	influenza	2010-12-07	Nairobi	central_Kenya	6	cluster_8
A/Kenya/CDC-KNH/033/2010_10-Dec-2010	influenza	2010-12-10	Nairobi	central_Kenya	6	cluster_10
A/Kenya/CDC-KNH/034/2011_14-Mar-2011	influenza	2011-03-14	Nairobi	central_Kenya	6	cluster_10
A/Kenya/CDC-KNH/035/2011_21-Feb-2011	influenza	2011-02-21	Nairobi	central_Kenya	6	cluster_8
A/Kenya/CDC-KNH/038/2011_23-Feb-2011	influenza	2011-02-23	Nairobi	central_Kenya	6	cluster_10
A/Kenya/CDC-KNH/040/2011_23-May-2011	influenza	2011-05-23	Nairobi	central_Kenya	6	cluster_10
