Isolate Name	GISAID Accession	Site	Clade	No. of Reads	IAV Reads	PCR Ct	Collection Date
A/Kenya/Kilifi/003/2009_08-Oct-2009	EPI_ISL_426138	Kilifi	6	"423,881"	"2,451"	28.05	08/10/2009
A/Kenya/Kilifi/006/2009_28-Nov-2009	EPI_ISL_426139	Kilifi	7	"438,231"	"107,871"	19.32	28/11/2009
A/Kenya/Kilifi/008/2009_13-Dec-2009	EPI_ISL_426140	Kilifi	7	"279,770"	"208,817"	25.88	13/12/2009
A/Kenya/Kilifi/009/2009_19-Dec-2009	EPI_ISL_426141	Kilifi	7	"428,592"	"199,634"	24.54	19/12/2009
A/Kenya/Kilifi/011/2010_27-Nov-2010	EPI_ISL_426142	Kilifi	6	"371,413"	"246,220"	11	27/11/2010
A/Kenya/Kilifi/012/2010_28-Nov-2010	EPI_ISL_426143	Kilifi	6	"488,230"	"168,169"	26.03	28/11/2010
A/Kenya/Kilifi/013/2010_13-Dec-2010	EPI_ISL_426144	Kilifi	6	"409,491"	"241,507"	22.43	13/12/2010
A/Kenya/Kilifi/014/2010_28-Dec-2010	EPI_ISL_426145	Kilifi	6	"409,979"	"384,582"	24.59	28/12/2010
A/Kenya/Kilifi/016/2011_07-Jan-2011	EPI_ISL_426146	Kilifi	6	"395,668"	"154,687"	27.13	07/01/2011
A/Kenya/Kilifi/018/2011_27-Jan-2011	EPI_ISL_426147	Kilifi	6	"293,831"	"54,740"	28.38	27/01/2011
A/Kenya/Kilifi/020/2011_10-Feb-2011	EPI_ISL_426148	Kilifi	6	"500,005"	"434,901"	25.89	10/02/2011
A/Kenya/Kilifi/021/2011_27-Feb-2011	EPI_ISL_426149	Kilifi	6	"555,193"	"431,908"	14.92	27/02/2011
A/Kenya/Kilifi/022/2011_22-May-2011	EPI_ISL_426150	Kilifi	6	"491,438"	"468,136"	18.13	22/05/2011
A/Kenya/Kilifi/023/2011_29-Jun-2011	EPI_ISL_426151	Kilifi	6	"464,710"	"445,000"	20.68	29/06/2011
A/Kenya/Kilifi/029/2011_27-Nov-2011	EPI_ISL_426152	Kilifi	6	"449,861"	"228,672"	26.75	27/11/2011
A/Kenya/Kilifi/039/2015_05-Aug-2015	EPI_ISL_426153	Kilifi	6B.1	"305,288"	"279,529"	25.87	05/08/2015
A/Kenya/Kilifi/040/2015_19-Aug-2015	EPI_ISL_426154	Kilifi	6B.1	"427,875"	"409,540"	23.79	19/08/2015
A/Kenya/Kilifi/041/2015_18-Sep-2015	EPI_ISL_426155	Kilifi	6B.1	"439,401"	"335,471"	27.2	18/09/2015
A/Kenya/Kilifi/043/2015_20-Sep-2015	EPI_ISL_426156	Kilifi	6B	"423,787"	"414,836"	23.75	20/09/2015
A/Kenya/Kilifi/045/2015_15-Oct-2015	EPI_ISL_426157	Kilifi	6B.1	"391,429"	"358,412"	27.05	15/10/2015
A/Kenya/Kilifi/047/2015_21-Nov-2015	EPI_ISL_426158	Kilifi	6B.1	"486,930"	"443,085"	26.19	21/11/2015
A/Kenya/Kilifi/049/2015_25-Nov-2015	EPI_ISL_426162	Kilifi	6B.1	"162,385"	"102,979"	26.68	25/11/2015
A/Kenya/Kilifi/127/2013_10-May-2013	EPI_ISL_426165	Kilifi	6C	"297,138"	"283,777"	22.98	10/05/2013
A/Kenya/Kilifi/128/2013_26-Sep-2013	EPI_ISL_426170	Kilifi	6C	"364,175"	"357,104"	24.1	26/09/2013
A/Kenya/Kilifi/134/2011_02-May-2011	EPI_ISL_426172	Kilifi	6	"387,443"	"291,248"	26.07	02/05/2011
A/Kenya/Kilifi/137/2015_20-Aug-2015	EPI_ISL_426174	Kilifi	6B.1	"448,709"	"38,958"	27.04	20/08/2015
A/Kenya/Kilifi/139/2015_01-Sep-2015	EPI_ISL_426175	Kilifi	6B	"638,407"	"587,473"	26.65	01/09/2015
A/Kenya/Kilifi/150/2014_17-May-2014	EPI_ISL_426176	Kilifi	6B	"497,822"	"399,792"	29.2	17/05/2014
